9638827	180722611	03/14/2018	03/13/2018	21:55:00	03/13/2018	22:04:00	407			3330 MARTIN L KING JR DR SW	0710	2404		1	Eve	Tue	23	AUTO THEFT	Adamsville	H	-84.49736	33.753920000000001
9638828	180722738	03/13/2018	03/13/2018	19:00:00	03/14/2018	23:43:00	502		143	1470 SPRING ST NW	0670	2308		1	Unk	Wed	21	LARCENY-NON VEHICLE	Midtown	E	-84.389189999999999	33.79504
9638829	180728070	03/13/2018	03/13/2018	16:10:00	03/13/2018	16:30:00	705			6023 N TERMINAL PKWY	0710	2404		1	Eve	Tue		AUTO THEFT			-84.447000000000003	33.64217
9638764	180712399	03/13/2018	03/12/2018	20:45:00	03/12/2018	22:50:00	210			3393 PEACHTREE RD NE (BLOOMINGDALES)	0630	2303	10	1	Eve	Mon	8	LARCENY-NON VEHICLE	Lenox	B	-84.362120000000004	33.846760000000003
9638769	180712436	03/13/2018	03/12/2018	19:30:00	03/13/2018	21:40:00	504		101	107 CENTER ST	0511	2202		2	Unk	Tue	20	BURGLARY-RESIDENCE	Downtown	M	-84.393330000000006	33.768059999999998
9638729	180711368	03/13/2018	03/02/2018	13:09:00	03/12/2018	13:50:00	310			2229 BURROUGHS AVE SE	0690	2399		1	Unk	Unk	20	LARCENY-NON VEHICLE	Lakewood	Z	-84.371480000000005	33.693300000000001
9638774	180720077	03/13/2018	03/13/2018	00:30:00	03/13/2018	00:45:00	111		K3	213 FAIRBURN RD NW @FAIRBURN GORDON APT	0410	1314		1	Morn	Tue	26	AGG ASSAULT	Adamsville	H	-84.503950000000003	33.761319999999998
9638775	180720166	03/13/2018	03/13/2018	01:40:00	03/13/2018	01:40:00	406		4	396 BROWNLEE RD SW	0620	2302		1	Morn	Tue	13	LARCENY-NON VEHICLE		I	-84.497510000000005	33.746000000000002
9638776	180720236	03/13/2018	03/12/2018	22:00:00	03/13/2018	03:34:00	303			565 WHITEHALL ST SW	0640	2305		1	Morn	Tue	18	LARCENY-FROM VEHICLE	Mechanicsville	V	-84.406549999999996	33.742739999999998
9638777	180720296	03/13/2018	03/13/2018	03:46:00	03/13/2018	03:46:00	413			3580 CAMPBELLTON RD SW	0410	1314		1	Morn	Tue	23	AGG ASSAULT		P	-84.505840000000006	33.689900000000002
9638778	180720378	03/13/2018	03/13/2018	05:10:00	03/13/2018	05:35:00	603		100	595 PIEDMONT AVE NE	0630	2303	10	1	Morn	Tue	8	LARCENY-NON VEHICLE	Old Fourth Ward	M	-84.381780000000006	33.770940000000003
9638779	180720391	03/13/2018	03/13/2018	05:32:00	03/13/2018	05:32:00	602			312 N HIGHLAND AVE NE	0512	2203		1	Morn	Tue	24	BURGLARY-NONRES	Inman Park	N	-84.357939999999999	33.763289999999998
9638780	180720420	03/13/2018	03/13/2018	04:00:00	03/13/2018	06:20:00	211			3085 PIEDMONT RD NE	0640	2305		1	Morn	Tue	18	LARCENY-FROM VEHICLE	Peachtree Park	B	-84.368989999999997	33.839880000000001
9638781	180720426	03/13/2018	03/13/2018	06:15:00	03/13/2018	06:27:00	212			2201 FAULKNER RD NE	0640	2305		1	Morn	Tue	18	LARCENY-FROM VEHICLE	Lindridge/Martin Manor	F	-84.357609999999994	33.813130000000001
9638782	180720443	03/13/2018	03/13/2018	03:00:00	03/13/2018	06:44:00	213			1763 MEADOWDALE AVE NE	0640	2305		2	Morn	Tue	99	LARCENY-FROM VEHICLE	Morningside/Lenox Park	F	-84.344250000000002	33.803379999999997
9638783	180720451	03/13/2018	03/12/2018	22:45:00	03/13/2018	06:30:00	212			2292 PEMBROOK PL NE	0640	2305		1	Morn	Tue	18	LARCENY-FROM VEHICLE	Lindridge/Martin Manor	F	-84.356800000000007	33.81767
9638784	180720455	03/13/2018	03/13/2018	06:50:00	03/13/2018	06:53:00	213		11	1529 PIEDMONT AVE NE	0311	1204		1	Morn	Tue	18	ROBBERY-PEDESTRIAN	Morningside/Lenox Park	F	-84.369560000000007	33.796340000000001
9638785	180720541	03/13/2018	03/13/2018	07:40:00	03/13/2018	07:50:00	408			1734 HADLOCK ST SW	0710	2404		1	Day	Tue	20	AUTO THEFT		R	-84.446029999999993	33.708150000000003
9638786	180720556	03/13/2018	03/13/2018	02:00:00	03/13/2018	07:40:00	207			1642 LEONA ST NW	0640	2305		1	Morn	Tue	18	LARCENY-FROM VEHICLE	Berkeley Park	D	-84.409899999999993	33.799819999999997
9638787	180720566	03/13/2018	03/12/2018	17:00:00	03/13/2018	08:00:00	211		603	711 COSMOPOLITAN DR NE	0710	2404		1	Morn	Tue	18	AUTO THEFT	Lindbergh/Morosgo	B	-84.362669999999994	33.821530000000003
9638788	180720641	03/13/2018	03/13/2018	08:00:00	03/13/2018	08:00:00	612			447 PASLEY AVE SE	0640	2305		2	Day	Tue	13	LARCENY-FROM VEHICLE	East Atlanta	W	-84.337320000000005	33.741630000000001
9638789	180720804	03/13/2018	03/13/2018	03:00:00	03/13/2018	04:01:00	213			1845 PIEDMONT AVE NE	0640	2305		1	Morn	Tue		LARCENY-FROM VEHICLE	Morningside/Lenox Park	F	-84.366259999999997	33.806220000000003
9638790	180720911	03/13/2018	03/13/2018	12:12:00	03/13/2018	12:25:00	206			540 PHARR RD NE	0670	2308		1	Day	Tue	14	LARCENY-NON VEHICLE	Buckhead Village	B	-84.370180000000005	33.837069999999997
9638791	180720919	03/13/2018	03/12/2018	17:00:00	03/13/2018	10:00:00	605			644 GRANT ST SE	0710	2404		1	Unk	Tue	13	AUTO THEFT	Grant Park	W	-84.376249999999999	33.736879999999999
9638792	180720965	03/13/2018	03/12/2018	18:00:00	03/13/2018	10:00:00	610			193 MURRAY HILL AVE NE	0640	2305		1	Unk	Tue	13	LARCENY-FROM VEHICLE	Kirkwood	O	-84.315770000000001	33.758009999999999
9638793	180721111	03/13/2018	03/13/2018	11:15:00	03/13/2018	12:00:00	611			103 SPENCE AVE SE	0640	2305		2	Day	Tue	13	LARCENY-FROM VEHICLE	East Lake	O	-84.296440000000004	33.74962
9638794	180721332	03/13/2018	03/12/2018	15:00:00	03/12/2018	15:00:00	312			3449 HAMILTON BLVD SE	0620	2302		1	Eve	Mon	99	LARCENY-NON VEHICLE	Glenrose Heights	Z	-84.387010000000004	33.662739999999999
9638795	180721362	03/13/2018	03/13/2018	13:28:00	03/13/2018	14:47:00	104			1003 CAMILLA ST SW	0640	2305		1	Day	Tue	20	LARCENY-FROM VEHICLE	Ashview Heights	T	-84.420680000000004	33.750509999999998
9638796	180721375	03/13/2018	03/13/2018	13:30:00	03/13/2018	13:35:00	411			3030 HEADLAND DR SW	0630	2303		1	Day	Tue	24	LARCENY-NON VEHICLE	Greenbriar	R	-84.48742	33.688409999999998
9638797	180721438	03/13/2018	11/01/2017	00:10:00	11/30/2017	00:21:00	504			LOVEJOY ST NW	0210	1103		1	Unk	Unk	20	RAPE	Downtown	M	0	0
9638798	180721443	03/13/2018	03/13/2018	15:00:00	03/13/2018	15:00:00	303		305	505 WHITEHALL ST	0690	2399		1	Eve	Tue	26	LARCENY-NON VEHICLE	Mechanicsville	V	-84.40437	33.743510000000001
